Date,Clicks,Impressions,CTR,Position
2025-12-16,0,0,,
2025-12-17,0,0,,
2025-12-18,0,6,0%,7.2
2025-12-19,0,7,0%,7.6
2025-12-20,0,8,0%,3.9
2025-12-21,0,8,0%,6.8
2025-12-22,0,12,0%,7.3
2025-12-23,1,2,50%,10
2025-12-24,0,7,0%,9.7
2025-12-25,0,2,0%,9.5
2025-12-26,0,7,0%,9.4
2025-12-27,0,9,0%,7.9
2025-12-28,0,2,0%,7
2025-12-29,0,7,0%,8.3
2025-12-30,0,5,0%,4.4
2025-12-31,0,2,0%,8.5
2026-01-01,0,5,0%,8.8
2026-01-02,1,7,14.29%,9.6
2026-01-03,0,7,0%,7.1
2026-01-04,0,3,0%,8
2026-01-05,0,1,0%,10
2026-01-06,0,19,0%,9.2
2026-01-07,0,0,,
2026-01-08,0,0,,
2026-01-09,0,0,,
2026-01-10,0,0,,
2026-01-11,0,3,0%,10.7
2026-01-12,0,1,0%,10
2026-01-13,0,1,0%,8
2026-01-14,0,0,,
2026-01-15,0,1,0%,8
2026-01-16,0,2,0%,8
2026-01-17,0,0,,
2026-01-18,0,2,0%,5
2026-01-19,0,3,0%,9.7
2026-01-20,0,1,0%,9
2026-01-21,0,2,0%,42.5
2026-01-22,0,3,0%,17
2026-01-23,0,6,0%,14.8
2026-01-24,0,3,0%,48.7
2026-01-25,0,2,0%,40.5
2026-01-26,0,2,0%,20
2026-01-27,0,4,0%,8
2026-01-28,0,2,0%,10
2026-01-29,0,3,0%,18.3
2026-01-30,0,3,0%,10.3
2026-01-31,0,2,0%,29.5
2026-02-01,0,2,0%,9
2026-02-02,0,8,0%,9.2
2026-02-03,0,4,0%,8
2026-02-04,0,3,0%,9.7
2026-02-05,0,1,0%,9
2026-02-06,1,2,50%,4.5
2026-02-07,0,7,0%,7.7
2026-02-08,0,3,0%,9.3
2026-02-09,0,3,0%,9.3
2026-02-10,0,0,,
2026-02-11,0,2,0%,19
2026-02-12,0,2,0%,7.5
2026-02-13,0,4,0%,10.8
2026-02-14,0,1,0%,4
2026-02-15,0,3,0%,9.7
2026-02-16,0,6,0%,10.3
2026-02-17,0,0,,
2026-02-18,0,0,,
2026-02-19,0,2,0%,10.5
2026-02-20,0,3,0%,35.7
2026-02-21,0,3,0%,10.3
2026-02-22,0,3,0%,9.3
2026-02-23,0,4,0%,9.8
2026-02-24,0,0,,
2026-02-25,0,7,0%,6.7
2026-02-26,0,3,0%,13.3
2026-02-27,0,8,0%,6.8
2026-02-28,0,8,0%,24.2
2026-03-01,0,13,0%,8.8
2026-03-02,0,13,0%,7.4
2026-03-03,0,4,0%,6.5
2026-03-04,0,30,0%,13.1
2026-03-05,0,30,0%,15.3
2026-03-06,0,34,0%,22.1
2026-03-07,0,32,0%,28.4
2026-03-08,1,52,1.92%,19.5
