Country,Clicks,Impressions,CTR,Position
United States,10,2261,0.44%,17.29
United Kingdom,1,139,0.72%,18.44
Germany,1,103,0.97%,10.12
Brazil,0,132,0%,12.35
Canada,0,132,0%,18.4
Japan,0,90,0%,7.78
Netherlands,0,75,0%,7.8
Spain,0,68,0%,8.26
India,0,60,0%,14.58
France,0,54,0%,8
Vietnam,0,53,0%,17.92
Australia,0,51,0%,11.75
South Korea,0,49,0%,7.61
Mexico,0,44,0%,8.5
Argentina,0,35,0%,7.66
Russia,0,34,0%,7.32
Italy,0,32,0%,9.12
Colombia,0,29,0%,9.93
China,0,24,0%,7.83
Ukraine,0,24,0%,11.71
Philippines,0,24,0%,23.54
Austria,0,22,0%,5.82
Switzerland,0,22,0%,8.73
Denmark,0,22,0%,18.64
Singapore,0,21,0%,9.43
Indonesia,0,21,0%,33.05
Poland,0,19,0%,7.58
Turkey,0,19,0%,8.47
Belgium,0,18,0%,7.78
Pakistan,0,18,0%,8.72
Taiwan,0,17,0%,7.35
Czechia,0,17,0%,9.59
Hong Kong,0,17,0%,12.59
Romania,0,15,0%,7
Israel,0,15,0%,8.27
Finland,0,15,0%,9.6
Thailand,0,15,0%,9.73
Portugal,0,14,0%,7.29
Norway,0,13,0%,7.08
Peru,0,13,0%,8.46
Saudi Arabia,0,13,0%,16
Sweden,0,12,0%,6.25
Ecuador,0,11,0%,8.64
United Arab Emirates,0,11,0%,15.91
Hungary,0,10,0%,7.2
Ireland,0,9,0%,9.33
New Zealand,0,8,0%,6.75
Egypt,0,7,0%,8.29
Bangladesh,0,7,0%,20.14
Iran,0,6,0%,3.83
Serbia,0,6,0%,7
Lithuania,0,6,0%,8.5
Chile,0,6,0%,8.67
Croatia,0,6,0%,8.83
Dominican Republic,0,6,0%,10.67
Algeria,0,6,0%,17
Belarus,0,5,0%,6.4
Slovakia,0,5,0%,6.4
Malaysia,0,5,0%,7.2
Puerto Rico,0,5,0%,7.4
Bosnia & Herzegovina,0,5,0%,8
Slovenia,0,5,0%,8.2
Morocco,0,5,0%,8.6
Venezuela,0,5,0%,23.6
Iraq,0,4,0%,8.5
Estonia,0,4,0%,10.5
Kenya,0,4,0%,16.25
Kazakhstan,0,4,0%,22
Tunisia,0,3,0%,5.67
Bulgaria,0,3,0%,7
South Africa,0,3,0%,7
Greece,0,3,0%,7.33
Belize,0,3,0%,12.33
Albania,0,2,0%,3.5
St. Vincent & Grenadines,0,2,0%,4
Unknown Region,0,2,0%,4.5
Honduras,0,2,0%,6
Nicaragua,0,2,0%,6
Guatemala,0,2,0%,7
Somalia,0,2,0%,7.5
Côte d’Ivoire,0,2,0%,8
Armenia,0,2,0%,8.5
Lebanon,0,2,0%,8.5
Trinidad & Tobago,0,2,0%,9.5
Tanzania,0,2,0%,11.5
Oman,0,2,0%,39.5
Kuwait,0,2,0%,40.5
Cuba,0,1,0%,2
Faroe Islands,0,1,0%,2
El Salvador,0,1,0%,3
Uzbekistan,0,1,0%,4
Bahamas,0,1,0%,5
Palestine,0,1,0%,5
Réunion,0,1,0%,5
Andorra,0,1,0%,6
Congo - Kinshasa,0,1,0%,6
Jamaica,0,1,0%,6
Moldova,0,1,0%,6
Angola,0,1,0%,7
Latvia,0,1,0%,7
Myanmar (Burma),0,1,0%,8
Nigeria,0,1,0%,8
Bolivia,0,1,0%,9
Curaçao,0,1,0%,9
Georgia,0,1,0%,9
Libya,0,1,0%,9
Malta,0,1,0%,9
Kosovo,0,1,0%,9
Ethiopia,0,1,0%,10
Guam,0,1,0%,10
Paraguay,0,1,0%,10
Senegal,0,1,0%,10
Benin,0,1,0%,11
Liberia,0,1,0%,11
Malawi,0,1,0%,12
Nepal,0,1,0%,12
Panama,0,1,0%,50
Mali,0,1,0%,51
